number,posx,posy
1,50000.0000,510000.0000
2,320000.0000,510000.0000
3,50000.0000,440000.0000
4,130000.0000,440000.0000
5,220000.0000,440000.0000
6,320000.0000,440000.0000
7,420000.0000,380000.0000
8,320000.0000,380000.0000
9,220000.0000,380000.0000
10,220000.0000,320000.0000
11,130000.0000,320000.0000
12,50000.0000,320000.0000
13,50000.0000,50000.0000
14,130000.0000,190000.0000
15,220000.0000,190000.0000
16,320000.0000,320000.0000
17,320000.0000,260000.0000
18,420000.0000,320000.0000
19,320000.0000,190000.0000
20,320000.0000,50000.0000
21,220000.0000,50000.0000
22,220000.0000,130000.0000
23,130000.0000,130000.0000
24,130000.0000,50000.0000
