linename,edge_source,edge_target
U1,147,50
U1,50,82
U1,82,127
U1,127,53
U1,53,101
U1,101,47
U1,85,107
U1,185,84
U2,173,150
U2,32,153
U2,139,3
U2,3,79
U2,79,100
U2,100,157
U2,157,56
U2,56,158
U2,158,98
U2,126,96
U2,47,28
U2,107,185
U2,192,37
U2,31,17
U2,155,73
U2,164,104
U2,108,142
U3,147,50
U3,50,82
U3,82,127
U3,127,53
U3,53,101
U3,101,47
U3,85,107
U3,185,9
U3,156,65
U3,38,57
U3,143,24
U3,125,30
U3,167,113
U3,109,83
U4,172,10
U4,130,68
U5,92,59
U5,29,105
U5,77,186
U5,35,15
U5,168,44
U5,89,93
U5,39,144
U5,40,177
U5,161,146
U5,146,3
U5,3,194
U5,194,195
U5,195,196
U5,196,23
U5,23,27
U6,22,66
U6,116,145
U6,86,2
U6,134,152
U6,88,178
U6,135,149
U6,102,112
U6,112,45
U6,45,196
U6,196,158
U6,158,80
U6,80,53
U6,53,94
U6,94,124
U6,124,121
U6,163,6
U6,74,171
U6,182,4
U7,193,187
U7,91,71
U7,25,122
U7,18,49
U7,106,76
U7,76,128
U7,128,60
U7,60,162
U7,162,48
U7,48,94
U7,94,101
U7,101,188
U7,78,34
U7,10,13
U7,19,38
U7,81,1
U7,183,17
U7,137,97
U7,72,69
U7,52,154
U7,138,123
U7,55,191
U7,7,131
U8,87,21
U8,21,60
U8,60,151
U8,151,82
U8,82,99
U8,99,58
U8,58,70
U8,70,3
U8,3,179
U8,140,14
U8,174,46
U8,118,115
U8,41,136
U8,119,90
U8,75,129
U9,103,88
U9,8,181
U9,16,169
U9,54,192
U9,84,156
U9,51,13
U9,26,43
U9,175,148
